"Reef","Block","Treatment","Transect","Distance","Core","agweight","bgweight","corebladeaream2","shootsm2","corebladeweightm2","coreprodweight"
"YM1A","1","A",1,1,1,137.56,570.52,747800,1300,29.95,0.855999931194743
"YM1A","1","A",1,1,2,141.32,498.1,1002650,1400,45.3,1.26418457849307
"YM1A","1","A",1,1,3,176.52,576.07,1687300,1300,69.16,1.6107787486636
"YM1A","1","A",1,20,1,161.37,640.39,1074750,1100,53.49,1.1898908301221
"YM1A","1","A",1,20,2,114.96,394.1,920950,900,44.52,0.782230172397937
"YM1A","1","A",1,20,3,71.82,391.91,475150,900,22.74,0.547351263080927
"YM1A","1","A",2,1,1,80.21,827.5,684600,800,29.21,0.5746828558202
"YM1A","1","A",2,1,2,61.82,443.84,628525,1100,26.62,0.718606202059283
"YM1A","1","A",2,1,3,82.7,399.2,726775,1000,30.46,0.994754661422514
"YM1A","1","A",2,20,1,67.57,100.93,726650,400,37.08,0.544257284604941
"YM1A","1","A",2,20,2,57.29,96.36,330750,300,16.88,0.672984693877551
"YM1A","1","A",2,20,3,87.85,134.38,685200,400,32.3,0.562099408367445
"YM1A","1","A",3,1,1,77.91,509.81,723300,900,31.6,0.633917610496268
"YM1A","1","A",3,1,2,145.13,655.83,1194275,1500,52.08,1.43659498672421
"YM1A","1","A",3,1,3,89.64,308.56,982125,600,43.57,0.974470186306321
"YM1A","1","A",3,20,1,117.17,531.76,1128225,1300,55.87,1.13449220510722
"YM1A","1","A",3,20,2,79.95,627.8,754900,1100,35.08,0.771846788319263
"YM1A","1","A",3,20,3,87.43,594.29,723650,800,37.7,0.936539849206721
"YM1B","1","B",1,1,1,116.67,251.05,1224400,700,53.34,1.27210936747721
"YM1B","1","B",1,1,2,167.14,637.33,1107850,1000,54.74,1.3291848234902
"YM1B","1","B",1,1,3,254.59,619.91,2718200,1600,116.78,2.43577671114003
"YM1B","1","B",1,20,1,66.67,168.78,531750,600,25.64,0.414427736171127
"YM1B","1","B",1,20,2,94.81,405.36,840150,700,41.7,0.747764056717309
"YM1B","1","B",1,20,3,92.93,316.9,901400,700,39.61,0.683274000704272
"YM1B","1","B",2,1,1,112.88,536.78,694100,900,33.43,0.829876890834463
"YM1B","1","B",2,1,2,166.29,726.65,1428750,1800,64.16,1.61950862043073
"YM1B","1","B",2,1,3,138.66,559.09,996150,900,48.09,1.2048867498617
"YM1B","1","B",2,20,1,48.22,120.95,445900,700,18.46,0.629427519193075
"YM1B","1","B",2,20,2,35.74,292.75,253100,600,10.39,0.225387831932465
"YM1B","1","B",2,20,3,91.72,322.38,912075,1000,40.16,0.82969656019938
"YM1B","1","B",3,1,1,124.68,394.83,1081450,700,46.13,0.80933561766532
"YM1B","1","B",3,1,2,167.32,481.63,1202150,900,57.8,1.61614401397269
"YM1B","1","B",3,1,3,182.79,319.45,1973525,1200,86.83,1.62328168511993
"YM1B","1","B",3,20,1,60.27,412.72,516675,700,24.78,0.911572653370926
"YM1B","1","B",3,20,2,28.95,179.78,278900,300,13.7,0.253830343326114
"YM1B","1","B",3,20,3,142.46,454.95,1336175,1100,66.13,1.69589887968585
"YM1C","1","C",1,1,1,436,670.09,3769050,1100,145.22,5.68808244394657
"YM1C","1","C",1,1,2,397.68,500.57,3198450,1100,124.45,4.00686608558945
"YM1C","1","C",1,1,3,179.34,436.21,1516150,600,57.4,2.37761732851986
"YM1C","1","C",1,20,1,65.83,280.3,527150,700,22.97,0.546644282897979
"YM1C","1","C",1,20,2,84.67,325.72,705450,700,32.68,0.498825417984814
"YM1C","1","C",1,20,3,87.27,171.1,602025,600,25.79,0.495510642532665
"YM1C","1","C",2,1,1,302.68,725.96,3816575,800,139.41,3.14275876800865
"YM1C","1","C",2,1,2,387.57,432.72,4281175,1100,161.79,4.80950658957232
"YM1C","1","C",2,1,3,410.02,738.2,4332150,1200,164.11,5.02286135701608
"YM1C","1","C",2,20,1,257.13,737.94,2212325,1900,95.19,2.22760190175765
"YM1C","1","C",2,20,2,245.14,916.42,2527425,1900,105.02,2.68956317875732
"YM1C","1","C",2,20,3,257.77,776.88,2283875,1400,98.81,2.3139904230117
"YM1C","1","C",3,1,1,157.92,265,1754600,500,69.1,2.35002955196443
"YM1C","1","C",3,1,2,233.44,329,2628525,1100,99.33,3.29139023203874
"YM1C","1","C",3,1,3,254.36,495.77,2821000,1200,102.26,3.73088309547587
"YM1C","1","C",3,20,1,119.88,689.01,1247300,1600,55.05,1.53238041067789
"YM1C","1","C",3,20,2,61.52,684.02,690280,1000,32.21,1.19552928069479
"YM1C","1","C",3,20,3,30.15,527.31,378875,600,17.64,0.463778103616813
"YM1D","1","D",1,1,1,407.84,728.87,5949950,1000,204.46,4.90990595206968
"YM1D","1","D",1,1,2,269.78,912.94,3701450,1000,133.65,2.86110829405523
"YM1D","1","D",1,1,3,422.56,1088.4,5972250,1600,190.43,4.94359040810816
"YM1D","1","D",1,20,1,310.06,657.32,2776225,1300,130.33,3.36004745465799
"YM1D","1","D",1,20,2,182.58,498.53,1971050,1000,86.1,1.44444167053454
"YM1D","1","D",1,20,3,443.96,538.09,2747850,1000,111.8,2.13989035210921
"YM1D","1","D",2,1,1,265.27,755.24,3038250,1200,94.91,2.86323263094051
"YM1D","1","D",2,1,2,351.12,217.87,5992550,900,194.87,4.61537385369894
"YM1D","1","D",2,1,3,277.68,729.82,4457625,900,143.48,3.23425669953245
"YM1D","1","D",2,20,1,108.52,577.76,749705,900,33.21,0.881077688826062
"YM1D","1","D",2,20,2,109.07,305.02,847350,800,34.38,1.0049005682208
"YM1D","1","D",2,20,3,117.13,447.16,687300,700,26.29,0.770229475007458
"YM1D","1","D",3,1,1,266.06,338.48,3350500,700,117.15,2.9103010026979
"YM1D","1","D",3,1,2,357.96,494.67,5002800,1100,159.99,4.02270847231418
"YM1D","1","D",3,1,3,512.23,561.68,8371650,1700,250.79,6.48688530801634
"YM1D","1","D",3,20,1,246.17,1179.23,1486075,1100,64.7,1.85799134175028
"YM1D","1","D",3,20,2,219.07,680.42,1821150,1600,75.51,2.33164302544059
"YM1D","1","D",3,20,3,168.68,831.07,1305150,1400,53.37,1.3116643377103
"YM2A","2","A",1,1,1,295.21,385.57,2736200,1800,121.67,2.62962918565119
"YM2A","2","A",1,1,2,179.33,753.94,1592600,2000,75.25,1.60583850754844
"YM2A","2","A",1,1,3,212.56,661.67,769650,1100,31.63,0.910212090338596
"YM2A","2","A",1,20,1,130.31,672.7,1037175,800,44.45,0.728998147978579
"YM2A","2","A",1,20,2,144.43,581.29,1479475,1200,66.21,1.37360587093826
"YM2A","2","A",1,20,3,176.56,839.27,1137775,1500,53.57,1.14966093691297
"YM2A","2","A",2,1,1,167.77,409,1627475,1600,68.28,1.74222861488546
"YM2A","2","A",2,1,2,205.14,377.57,1530075,1100,73.9,2.31638121321387
"YM2A","2","A",2,1,3,129.13,485.33,989350,900,44.94,0.882632308496416
"YM2A","2","A",2,20,1,130.68,772.44,1081525,1500,51.35,1.02283516062189
"YM2A","2","A",2,20,2,29.81,581.73,181100,200,9.01,NA
"YM2A","2","A",2,20,3,192.65,986.57,985775,1300,47.22,1.15538090178394
"YM2A","2","A",3,1,1,189.12,450.03,1596600,1500,65.72,1.43422899690191
"YM2A","2","A",3,1,2,193.69,451.37,1590375,1300,68.39,2.25888822953825
"YM2A","2","A",3,1,3,182.71,591.41,1511850,1400,65.88,1.34671407296768
"YM2A","2","A",3,20,1,113.23,760.86,744500,1500,40.59,1.03102355358225
"YM2A","2","A",3,20,2,158.02,836.39,1208400,1500,55.65,1.14923104569536
"YM2A","2","A",3,20,3,47.46,742.58,433325,1000,22.7,0.800428101801784
"YM2B","2","B",1,1,1,168.92,493.91,1763225,1000,73.21,1.9443096567948
"YM2B","2","B",1,1,2,134.69,301.29,1478600,500,61.71,0.689865992648051
"YM2B","2","B",1,1,3,126.36,230.36,1388650,700,56.62,1.46454443583634
"YM2B","2","B",1,20,1,255.55,668.48,1127850,1100,56.63,1.38134635993553
"YM2B","2","B",1,20,2,75.8,527.73,622950,800,31.09,0.605381556369911
"YM2B","2","B",1,20,3,93.17,585,573650,800,27.64,0.652024772419438
"YM2B","2","B",2,1,1,171.58,319.2,1826400,800,70.72,1.3167217987177
"YM2B","2","B",2,1,2,98.43,303.94,976850,1000,42.62,1.23756376603792
"YM2B","2","B",2,1,3,174.44,474.35,2112800,1200,84.52,2.02001016378292
"YM2B","2","B",2,20,1,240.58,1093.49,1704200,2000,75.28,2.13756583556837
"YM2B","2","B",2,20,2,136.23,977.78,1022050,1700,46.17,1.44009423100584
"YM2B","2","B",2,20,3,272.7,930.82,2045225,2400,98.85,2.37604022259469
"YM2B","2","B",3,1,1,94.28,745.12,1162150,900,47.68,0.720026490257883
"YM2B","2","B",3,1,2,168.57,401.32,1993250,900,81.81,1.96992187431689
"YM2B","2","B",3,1,3,154.22,258.69,1776725,800,69.67,1.81353582546836
"YM2B","2","B",3,20,1,133,659.86,782925,1100,42.02,0.963204669999121
"YM2B","2","B",3,20,2,38.52,805.13,217995,700,11.22,0.427550206627856
"YM2B","2","B",3,20,3,129.07,984.84,748275,1200,38.88,0.828512302536119
"YM2C","2","C",1,1,1,240.6,267.07,2751550,900,96.17,3.35332197174341
"YM2C","2","C",1,1,2,271.23,359.93,4066700,1100,147.96,3.35834363742984
"YM2C","2","C",1,1,3,312.73,388.35,3985425,1500,143.69,4.0892961169527
"YM2C","2","C",1,20,1,194.15,1203.54,1210350,1000,65.46,1.77917640356865
"YM2C","2","C",1,20,2,156.93,1210.15,852150,900,38.42,0.989145075721708
"YM2C","2","C",1,20,3,96.72,1167.75,561650,800,28.05,0.636856282667855
"YM2C","2","C",2,1,1,371.66,477.05,5544700,1100,194.67,4.86392583227773
"YM2C","2","C",2,1,2,331.16,322.25,5946750,1100,179.19,5.14012368684098
"YM2C","2","C",2,1,3,343.25,381.5,6283900,1200,190.32,4.80921147976203
"YM2C","2","C",2,20,1,124,573.67,711400,700,35.45,0.74195935638499
"YM2C","2","C",2,20,2,226.43,856.94,1589700,1600,78.84,1.46714017700544
"YM2C","2","C",2,20,3,92.37,510.28,461850,500,22.88,0.546057327764993
"YM2C","2","C",3,1,1,418.38,521.72,5941625,1300,193.06,4.79382523759135
"YM2C","2","C",3,1,2,151,196.61,2500150,600,80.34,2.25052189235392
"YM2C","2","C",3,1,3,119.48,140.61,2569675,600,87.47,1.64607020771748
"YM2C","2","C",3,20,1,148.59,537.51,1190225,1500,59.98,1.37359455638571
"YM2C","2","C",3,20,2,125.89,554.59,649600,1000,33.91,0.708262686567164
"YM2C","2","C",3,20,3,104.21,486.82,573875,700,33.4,0.853752561959318
"YM2D","2","D",1,1,1,407.69,504.55,4428625,1200,156.8,4.68492702240095
"YM2D","2","D",1,1,2,926.31,854.13,6645150,1500,241.47,5.95455800631332
"YM2D","2","D",1,1,3,358.05,538.42,4304000,900,155.81,3.7331797621565
"YM2D","2","D",1,20,1,144.5,635.76,638975,900,32.04,0.854076879435474
"YM2D","2","D",1,20,2,25.17,683.78,0,0,0,NA
"YM2D","2","D",1,20,3,78.49,539.71,608925,1000,30.8,0.726065958250173
"YM2D","2","D",2,1,1,127.42,162.02,2039775,300,68.38,1.19254552632472
"YM2D","2","D",2,1,2,339.69,363.02,4984000,900,181.53,4.53979453318422
"YM2D","2","D",2,1,3,190.56,187,2847075,900,93.85,1.68941035371646
"YM2D","2","D",2,20,1,128.84,1337.51,556250,1200,27.73,0.808402890912147
"YM2D","2","D",2,20,2,125.75,1171.81,428650,800,23.02,0.96842094293463
"YM2D","2","D",2,20,3,70.29,815.59,384250,700,19.64,0.660714108110256
"YM2D","2","D",3,1,1,229.63,196.91,2789175,1000,106.03,2.80440793238901
"YM2D","2","D",3,1,2,346.1,511.66,4374550,1200,168.04,4.6419189571557
"YM2D","2","D",3,1,3,97.82,152.93,1256650,200,49.48,0.797625434674615
"YM2D","2","D",3,20,1,122.62,607.66,986800,1500,48.88,1.2577488450815
"YM2D","2","D",3,20,2,79.34,651.47,508875,1300,27.23,1.0687382900251
"YM2D","2","D",3,20,3,196.08,665.76,1544575,1300,71.44,1.57024503218237
"YM3A","3","A",1,1,1,351.56,682.8,2525825,1600,107.96,3.26044692359648
"YM3A","3","A",1,1,2,208.33,538.29,2102950,1000,96.01,2.07107238161499
"YM3A","3","A",1,1,3,534.61,1037.37,4516875,2200,184.14,4.82829758054957
"YM3A","3","A",1,20,1,287.61,822.02,1997100,1700,112.43,1.94495552617438
"YM3A","3","A",1,20,2,75.05,583.82,447150,400,26.47,0.674010786940681
"YM3A","3","A",1,20,3,179.07,1049.74,957225,1200,47.36,1.16766348910546
"YM3A","3","A",2,1,1,209.56,936.63,1503325,1500,68.11,1.44427634152887
"YM3A","3","A",2,1,2,198.77,951.65,1652750,1200,68.59,1.86786491866182
"YM3A","3","A",2,1,3,240.03,687.14,2052100,1400,93.47,2.17461870281925
"YM3A","3","A",2,20,1,158.36,883.35,884275,1300,46.09,1.33847548694035
"YM3A","3","A",2,20,2,187.91,1126.74,1132450,1900,58.38,1.41570520788068
"YM3A","3","A",2,20,3,163.54,593.85,1343450,1100,68.82,1.479084158162
"YM3A","3","A",3,1,1,106.52,988.75,673650,1000,33.66,0.804425205902448
"YM3A","3","A",3,1,2,253.13,877.92,1636525,1500,66.8,1.84315554808062
"YM3A","3","A",3,1,3,189.49,919.85,1381150,1600,58.57,1.16297500793739
"YM3A","3","A",3,20,1,158.83,460.87,1271700,900,59.09,1.69900872121098
"YM3A","3","A",3,20,2,111.33,560.35,880600,800,43.71,0.70805362090164
"YM3A","3","A",3,20,3,148.58,446.28,914250,600,48.84,0.998375312085619
"YM3B","3","B",1,1,1,593,1167.88,4767450,1400,166.99,5.2670410116949
"YM3B","3","B",1,1,2,464.4,537.84,5675650,1300,214.03,5.98798118713743
"YM3B","3","B",1,1,3,483.85,785.57,5238950,1500,185.23,5.34232447352107
"YM3B","3","B",1,20,1,163.14,632.28,1255075,1100,57.53,1.26439216068087
"YM3B","3","B",1,20,2,147.87,904.98,992625,1200,46.87,0.835343502746116
"YM3B","3","B",1,20,3,194.7,1008.14,866350,1500,38.62,0.758293691508081
"YM3B","3","B",2,1,1,202.33,630.61,1520900,1100,60.52,1.92217382558889
"YM3B","3","B",2,1,2,168.97,422.57,1445950,900,61.08,2.90178691766633
"YM3B","3","B",2,1,3,272.69,701.9,2452860,1200,111.77,1.98039244712305
"YM3B","3","B",2,20,1,115.97,984.92,755425,1000,36.73,0.922290198371484
"YM3B","3","B",2,20,2,82.8,570.67,607825,1000,29.98,0.688603402665128
"YM3B","3","B",2,20,3,110.98,609.47,684700,700,35.65,0.837143000455829
"YM3B","3","B",3,1,1,470.74,752.13,5115450,1200,158.67,5.30250675411652
"YM3B","3","B",3,1,2,577.47,1161.76,7419550,1400,252.95,6.38631298658393
"YM3B","3","B",3,1,3,268.97,675.37,3081425,1400,104.4,3.68144632520844
"YM3B","3","B",3,20,1,84.58,918.95,623475,600,30.84,0.661395069808028
"YM3B","3","B",3,20,2,76.44,828.31,580225,500,30.1,0.819083873401148
"YM3B","3","B",3,20,3,73.94,624.56,486400,400,24.4,0.587039498293366
"YM3C","3","C",1,1,1,301.39,334.57,4078500,1000,163.39,3.63824501487048
"YM3C","3","C",1,1,2,455.77,519.27,5258450,1300,217.22,4.61117462897628
"YM3C","3","C",1,1,3,220.77,392.66,2331700,800,94.85,2.5904120612183
"YM3C","3","C",1,20,1,136.75,491.37,1077350,900,49.1,1.78756181914648
"YM3C","3","C",1,20,2,79.79,757.03,489575,700,32.65,0.835029080638838
"YM3C","3","C",1,20,3,54.43,454.65,347450,500,17.24,0.345946939326512
"YM3C","3","C",2,1,1,363.58,758.69,3954000,1500,161.24,3.64901397502105
"YM3C","3","C",2,1,2,406.45,693.89,5004175,2300,207.69,3.6054664738881
"YM3C","3","C",2,1,3,242.06,553.64,2443350,1300,99.41,2.83918451408708
"YM3C","3","C",2,20,1,75.52,636.35,452400,800,20.15,0.563342633700056
"YM3C","3","C",2,20,2,231.63,889.36,1381300,1200,64.42,1.55914200830401
"YM3C","3","C",2,20,3,146.8,322.6,1061900,600,49.59,0.983692493731639
"YM3C","3","C",3,1,1,186.17,590.25,2212700,900,87.15,2.51634918248504
"YM3C","3","C",3,1,2,82.72,706.28,773225,500,27.36,0.758494614556964
"YM3C","3","C",3,1,3,330.37,1105.26,4143225,1400,153.6,4.15321468523621
"YM3C","3","C",3,20,1,36.32,482.45,287600,500,13.55,0.51638226010101
"YM3C","3","C",3,20,2,75.43,602.67,551875,700,26.36,0.417611058002137
"YM3C","3","C",3,20,3,62.41,484.63,642725,500,34.69,0.687593411257508
"YM3D","3","D",1,1,1,533.3,889.58,5617850,2300,227.48,8.83836111020445
"YM3D","3","D",1,1,2,208.09,477.51,2213050,800,88.71,2.52704298591957
"YM3D","3","D",1,1,3,308.25,570.69,3109400,1300,128.61,3.92446969460972
"YM3D","3","D",1,20,1,52.8,510.91,250100,200,12.79,0.214600751361315
"YM3D","3","D",1,20,2,67.6,383.65,472175,600,24.51,1.20108722493279
"YM3D","3","D",1,20,3,134.75,716.07,651350,700,34.74,0.83810607528028
"YM3D","3","D",2,1,1,366.03,360.06,4248150,1100,173.96,4.21906725414595
"YM3D","3","D",2,1,2,356.96,357.07,4892850,1100,202.93,4.96608576503339
"YM3D","3","D",2,1,3,549.86,499.81,7281550,1300,310.78,5.9009709930561
"YM3D","3","D",2,20,1,180.26,767.11,909975,1400,47.29,1.36501119337549
"YM3D","3","D",2,20,2,161.37,606.78,1027425,1200,49.42,1.24965987898948
"YM3D","3","D",2,20,3,93.75,988.49,472900,700,23.81,0.517453939218695
"YM3D","3","D",3,1,1,336.26,89.41,6397275,900,260.34,6.02336252239484
"YM3D","3","D",3,1,2,353.86,564.16,5064250,1000,181.63,4.21643461489995
"YM3D","3","D",3,1,3,136.29,255.73,1993800,500,76.79,1.75268760681136
"YM3D","3","D",3,20,1,115.22,539.19,1008800,1100,52.9,1.00557797446077
"YM3D","3","D",3,20,2,186.21,706.66,1544875,1600,73.72,1.22967239839605
"YM3D","3","D",3,20,3,46.97,464.7,343950,600,15.44,0.494073289687401
"YM4A","4","A",1,1,1,79.2,533.28,713075,500,33.24,0.468582636121767
"YM4A","4","A",1,1,2,32.17,320.06,186650,700,7.87,0.414966671066526
"YM4A","4","A",1,1,3,115.18,451.22,636700,1000,28.37,0.475448180680624
"YM4A","4","A",1,20,1,391.6,1533.48,2066800,2500,96.22,2.27544083927066
"YM4A","4","A",1,20,2,115.24,867.14,507750,700,23.28,0.686721106489355
"YM4A","4","A",2,1,1,145.64,437.84,1119000,1300,51.75,0.8660125738626
"YM4A","4","A",2,1,2,55.83,276.7,530050,700,23.81,0.737069666926314
"YM4A","4","A",2,1,3,106.21,428.7,872200,1300,41.33,0.773666233551338
"YM4A","4","A",2,20,1,88.81,772.92,697675,700,31.01,0.687400896611643
"YM4A","4","A",2,20,2,96.08,271.17,758800,600,34.77,0.651615373815407
"YM4A","4","A",2,20,3,222.89,590.8,1800150,800,81.52,1.32200500188136
"YM4A","4","A",3,1,1,86.05,232.88,980200,900,44.42,1.08875798763158
"YM4A","4","A",3,1,2,108.97,275.21,1319225,800,56.24,1.08259491233663
"YM4A","4","A",3,1,3,84.7,207.52,1209975,900,51.62,1.12219868911012
"YM4A","4","A",3,20,1,41.66,528.52,368175,600,17.9,0.36508425736796
"YM4A","4","A",3,20,2,252.44,964.53,1875700,1700,88.79,1.98171016042636
"YM4A","4","A",3,20,3,155.84,625.77,982125,1200,51.5,1.05090327817952
"YM4B","4","B",1,1,1,193.75,213.43,2101200,900,99.43,2.16796182690187
"YM4B","4","B",1,1,2,153.66,397.45,1308350,800,60.23,1.76588913598026
"YM4B","4","B",1,20,1,196.31,1017.29,1190800,1700,60.47,1.22634227525495
"YM4B","4","B",1,20,2,122.13,631.26,1063425,1000,51.51,1.46406968985575
"YM4B","4","B",1,20,3,185.11,758.28,882800,1100,62.31,1.37308281143083
"YM4B","4","B",2,1,1,260.69,414.09,2998900,1000,133.92,2.66043172546809
"YM4B","4","B",2,1,2,307.65,658.23,2954775,1300,132.04,2.64047105386891
"YM4B","4","B",2,1,3,336.77,661.45,2828375,1400,124.87,3.08607945662678
"YM4B","4","B",2,20,1,25.78,480.08,54080,200,2.24,0.0841826923076923
"YM4B","4","B",2,20,2,21.74,266.18,168425,400,7.54,0.212223450885713
"YM4B","4","B",2,20,3,85.7,701.83,680900,700,32.03,0.572539849858278
"YM4B","4","B",3,1,1,165.64,275.25,1787700,900,80.69,1.45201867986325
"YM4B","4","B",3,1,2,116.43,310.62,874175,900,42.99,1.14439598013611
"YM4B","4","B",3,1,3,224.47,502.49,2334825,900,97.53,2.10263990131845
"YM4B","4","B",3,20,1,257.6,849.31,1898625,1600,76.82,1.41502283611191
"YM4B","4","B",3,20,2,191.16,1092.88,1397550,1500,61.99,1.57511154308423
"YM4B","4","B",3,20,3,27.52,398.84,160500,300,6.58,0.217142857142857
"YM4C","4","C",1,1,1,438.51,520.28,5321600,1100,201.17,3.5003740713398
"YM4C","4","C",1,1,2,426.05,554.12,5774450,1200,215.74,4.65540340560719
"YM4C","4","C",1,1,3,437.25,469.46,5912850,1200,207.81,3.95798107241825
"YM4C","4","C",1,20,1,47.5,168.3,272650,300,14.16,0.265905387631092
"YM4C","4","C",1,20,2,40.43,439.9,435950,500,24.46,0.455554670865842
"YM4C","4","C",1,20,3,70.75,426.08,354425,500,16.86,0.387188639970082
"YM4C","4","C",2,1,1,389.32,275.96,5505275,1000,198.37,3.67912358731143
"YM4C","4","C",2,1,2,279.75,292.64,4425300,800,170.07,2.30210391525491
"YM4C","4","C",2,1,3,416.71,395.23,5799650,1200,213.69,4.99574363838438
"YM4C","4","C",2,20,1,115.83,395.69,1042875,800,48.54,0.806707038359075
"YM4C","4","C",2,20,2,83.85,526.97,659250,500,32.46,0.691066081682632
"YM4C","4","C",2,20,3,110.28,737.79,929860,1200,43.09,1.00192146172927
"YM4C","4","C",3,1,1,326.88,322.48,4680975,1100,169.21,3.42710535647692
"YM4C","4","C",3,1,2,256.31,216.84,3732650,700,147.12,3.64457801899649
"YM4C","4","C",3,1,3,250.33,408.44,3435875,1400,131.58,4.90592825008712
"YM4C","4","C",3,20,1,95.05,308.44,600025,500,31.82,1.2662124478785
"YM4C","4","C",3,20,2,62.24,122.84,537925,300,26.94,0.422385931558935
"YM4C","4","C",3,20,3,46.74,90.57,403575,300,17.47,0.364571411777833
"YM4D","4","D",1,1,1,238.14,337.52,3045800,1100,116.5,2.34607131878179
"YM4D","4","D",1,1,2,147.62,136.99,1698450,500,67.62,1.89640831009779
"YM4D","4","D",1,1,3,282.44,647.75,3044275,900,130.24,2.8346567632028
"YM4D","4","D",1,20,1,209.06,1064.48,1003425,1400,49.53,1.1745676539711
"YM4D","4","D",1,20,2,130.01,715.74,814450,1000,41.64,0.786472328595492
"YM4D","4","D",1,20,3,160.23,786.24,850275,1300,41.63,1.05611738448812
"YM4D","4","D",2,1,1,238.27,129.08,3966950,500,157.08,3.57943212510825
"YM4D","4","D",2,1,2,208.63,304.98,2447850,900,101.94,2.90810842372113
"YM4D","4","D",2,1,3,301.96,350.62,4750900,1300,178.78,4.28698075686481
"YM4D","4","D",2,20,1,173.28,860.06,1524025,1600,73.34,1.5968972822316
"YM4D","4","D",2,20,2,165.4,697.16,916975,1300,43.92,0.8406007845111
"YM4D","4","D",2,20,3,281.92,842.75,2260625,1400,108.57,2.14103894511145
"YM4D","4","D",3,1,1,166.24,325.7,2166250,700,89.93,2.2108841702054
"YM4D","4","D",3,1,2,406.86,523.12,5562550,1800,223.7,5.09117964117001
"YM4D","4","D",3,1,3,174.76,209.13,2791250,800,96.62,2.682377825951
"YM4D","4","D",3,20,1,159.39,734.69,1140025,1100,57.56,1.19994206526996
"YM4D","4","D",3,20,2,131.2,581.05,934550,1100,42.74,0.929808357359991
"YM4D","4","D",3,20,3,232.78,744.54,1651700,1500,80.26,2.15589273266883
"YM4A","4","A",1,20,3,110.3,636.63,860600,500,42.76,0.903799905095486
"YM4B","4","B",1,1,3,193.01,614.22,1839750,1000,93.86,2.07133927534738
