,reef.date,n,p,biomass.tot
1,1a-3/16/13,0.263032,0.024640384,344.6767701
2,1a-5/11/16,0.106508247,0.00328484,39.6577134
3,1a-5/12/19,0.180372807,0.022414554,354.2051445
4,1a-5/26/13,0.078100781,0.005606737,84.93236652
5,1a-5/5/16,0.122662739,0.005957458,105.0962496
6,1a-5/7/16,0.112181597,0.005241087,54.96872875
7,1a-5/9/16,0.104413628,0.003944193,60.31813663
8,1a-6/13/19,0.303320044,0.018578129,453.0851755
9,1a-6/9/13,0.126977043,0.008830813,154.1561639
10,1b-3/16/13,0.610093257,0.032464928,1304.738181
11,1b-5/11/16,1.047320122,0.05899735,1671.448259
12,1b-5/12/19,0.421758527,0.020309698,764.0824727
13,1b-5/26/13,0.796486162,0.053338062,1577.882794
14,1b-5/5/16,0.61971661,0.058223592,1448.295992
15,1b-5/7/16,0.554486657,0.033788687,892.7537266
16,1b-5/9/16,0.59220104,0.032125124,935.2904665
17,1b-6/13/19,0.631401133,0.042390488,761.248046
18,1b-6/9/13,0.869143884,0.06793709,1638.887066
19,1c-3/16/13,0.189500643,0.012605104,152.5670596
20,1c-5/11/16,0.132365208,0.015672386,231.2691379
21,1c-5/12/19,0.101552225,0.005553641,58.05941014
22,1c-5/26/13,0.065612982,0.003828605,54.98816158
23,1c-5/5/16,0.111231601,0.007044733,83.89044932
24,1c-5/7/16,0.150616851,0.009663987,79.06700554
25,1c-5/9/16,0.13164165,0.027971703,431.0121126
26,1c-6/13/19,0.332133741,0.015561066,124.5397486
27,1c-6/9/13,0.073221197,0.014821466,242.9718225
28,1d-3/16/13,0.670298203,0.036484461,1722.925613
29,1d-5/11/16,0.260395861,0.015759521,462.0307622
30,1d-5/12/19,0.789014726,0.093868164,2148.49137
31,1d-5/26/13,0.743423595,0.039437473,1739.678624
32,1d-5/5/16,0.284980376,0.018318483,392.0242322
33,1d-5/7/16,0.31470873,0.018788242,608.6575614
34,1d-5/9/16,0.336707023,0.015410877,435.6361748
35,1d-6/13/19,0.818584187,0.043383429,978.2390943
36,1d-6/9/13,0.496691176,0.025371208,1063.059974
37,2a-3/16/13,0.218090821,0.024346996,391.7876031
38,2a-5/11/19,0.224820831,0.023820008,384.3612074
39,2a-5/12/16,0.202300016,0.04033045,635.9610301
40,2a-5/26/13,0.111125671,0.006834745,94.65492662
41,2a-5/5/16,0.11108027,0.00511898,86.51573711
42,2a-5/7/16,0.180688026,0.029434344,427.390725
43,2a-5/9/16,0.133749083,0.015803699,256.9874627
44,2a-6/13/19,0.274056827,0.024058786,306.1587539
45,2a-6/9/13,0.096327964,0.006011184,88.04975167
46,2b-3/16/13,0.782054394,0.060994694,1460.046354
47,2b-5/10/19,2.980680331,0.169531675,9317.814037
48,2b-5/12/16,1.098777546,0.059507563,2157.713001
49,2b-5/26/13,0.98592574,0.065627722,1888.12559
50,2b-5/5/16,1.226836697,0.068185934,2359.07856
51,2b-5/7/16,1.711937579,0.119750896,3977.098991
52,2b-5/9/16,1.20859228,0.071335607,2413.104459
53,2b-6/13/19,2.560866638,0.141093766,7212.466207
54,2b-6/9/13,0.957405456,0.051426803,1778.797987
55,2c-3/16/13,0.272402432,0.021422889,301.8934942
56,2c-5/11/19,0.304768545,0.022210191,559.6068143
57,2c-5/12/16,0.537647349,0.07695241,858.2166962
58,2c-5/26/13,0.432687235,0.071590412,566.7885002
59,2c-5/5/16,0.340150323,0.038351905,364.3947294
60,2c-5/7/16,0.415066402,0.094354787,1265.052261
61,2c-5/9/16,0.361231759,0.022842201,178.9792779
62,2c-6/13/19,0.26754995,0.017153773,284.3344941
63,2c-6/9/13,0.246152721,0.026890675,148.7953891
64,2d-3/16/13,1.069417791,0.064006541,2779.500985
65,2d-5/11/19,0.509340045,0.033818826,1392.236777
66,2d-5/12/16,0.587656925,0.033864435,1221.809309
67,2d-5/26/13,1.430749035,0.103703863,3264.267811
68,2d-5/5/16,0.44635214,0.032717504,982.7149923
69,2d-5/7/16,0.606009581,0.031206943,1232.428202
70,2d-5/9/16,0.72130104,0.042420086,1216.921685
71,2d-6/13/19,0.431202285,0.035694547,1541.987752
72,2d-6/9/13,1.755351548,0.138367106,3642.363877
73,3a-3/16/13,0.378680523,0.051359183,592.0709205
74,3a-5/11/19,0.258622657,0.034920221,428.3257016
75,3a-5/13/16,0.242916164,0.022825262,386.6267734
76,3a-5/26/13,0.373304957,0.043128184,750.359924
77,3a-5/5/16,0.261800373,0.024353888,419.115948
78,3a-5/7/16,0.193399895,0.009473367,253.4398059
79,3a-5/9/16,0.255001985,0.013668658,255.3863311
80,3a-6/13/19,0.33913571,0.018360804,428.5386458
81,3a-6/9/13,0.317525756,0.047292505,829.0517109
82,3b-3/16/13,0.80348966,0.069802284,1791.524884
83,3b-5/11/19,0.963529886,0.05712783,3120.20529
84,3b-5/13/16,0.617777647,0.044372932,1428.085428
85,3b-5/26/13,0.801228424,0.058191563,2165.387173
86,3b-5/5/16,0.430991566,0.026077054,943.140021
87,3b-5/7/16,0.466867356,0.033543812,1057.790341
88,3b-5/9/16,0.565100516,0.032299913,1215.938178
89,3b-6/13/19,1.15691423,0.07235817,3462.362108
90,3b-6/9/13,0.862679871,0.059137489,2112.164967
91,3c-3/16/13,0.246049532,0.033399227,509.7411778
92,3c-5/11/19,0.143974832,0.009846468,177.951426
93,3c-5/13/16,0.264694882,0.027895022,244.8593424
94,3c-5/26/13,0.195724858,0.041962823,693.6880799
95,3c-5/5/16,0.222659057,0.010042945,100.6040327
96,3c-5/7/16,0.199393274,0.03059139,459.6008579
97,3c-5/9/16,0.199954569,0.023967666,277.4887998
98,3c-6/13/19,0.40003132,0.048502803,815.8220431
99,3d-3/16/13,0.749926756,0.071357488,2062.168974
100,3d-5/12/19,1.835239589,0.107232688,5775.170234
101,3d-5/13/16,0.745499933,0.047460185,1464.172991
102,3d-5/26/13,0.562634055,0.061289956,1705.74673
103,3d-5/5/16,0.343368518,0.018069973,600.4918304
104,3d-5/7/16,0.490358161,0.027605194,877.7923856
105,3d-5/9/16,0.355269804,0.019904101,571.9128518
106,3d-6/13/19,3.150645239,0.163886326,5823.150023
107,3d-6/9/13,0.626767349,0.053871647,1411.03412
108,4a-3/16/13,0.053558915,0.003935657,61.61360903
109,4a-5/10/16,0.131781407,0.014563517,231.1478378
110,4a-5/11/16,0.07517035,0.007577479,115.9056389
111,4a-5/12/16,0.902252744,0.192610667,3178.822748
112,4a-5/12/19,0.163114156,0.020825595,348.4617879
113,4a-5/13/16,0.104263427,0.015790378,249.4216928
114,4a-5/14/16,0.082128778,0.007066249,94.56266921
115,4a-5/26/13,0.1469767,0.009354434,144.1292039
116,4a-5/5/16,0.10862478,0.017070236,274.4932347
117,4a-5/7/16,0.144874129,0.020718304,349.5081573
118,4a-5/9/16,0.109042456,0.015541819,248.3829677
119,4a-6/13/19,0.306748946,0.012856701,175.5978064
120,4a-6/9/13,0.105177159,0.007164024,81.04553055
121,4b-3/16/13,1.02510134,0.065007608,2141.823034
122,4b-5/10/16,1.447957095,0.079443874,3022.075607
123,4b-5/11/16,1.478669572,0.090003517,3178.536489
124,4b-5/12/16,1.551172042,0.094390516,3575.361136
125,4b-5/13/16,1.536171429,0.091501229,3473.46793
126,4b-5/13/19,1.622336752,0.096130017,5609.675779
127,4b-5/14/16,1.557013572,0.096294955,3537.794626
128,4b-5/26/13,2.062755808,0.149835199,5249.607877
129,4b-5/5/16,1.433527574,0.071108449,2959.293196
130,4b-5/7/16,1.529565964,0.0892742,3337.20239
131,4b-5/9/16,1.592592769,0.103887029,3798.730712
132,4b-6/13/19,3.310825502,0.210668405,12054.69917
133,4b-6/9/13,0.814735383,0.042819912,1526.878713
134,4c-3/16/13,0.153065737,0.020317489,324.0715013
135,4c-5/10/16,0.113187884,0.004696417,105.6672087
136,4c-5/11/16,0.097268292,0.004431385,82.28576351
137,4c-5/12/16,0.161544873,0.028120505,481.7940118
138,4c-5/13/16,0.09342,0.014032633,229.2876936
139,4c-5/13/19,0.154108898,0.019545775,467.6198747
140,4c-5/14/16,0.130526563,0.015140659,252.4471368
141,4c-5/26/13,0.24948742,0.035566157,612.310195
142,4c-5/5/16,0.166347821,0.029188177,504.5975999
143,4c-5/7/16,0.083218818,0.003998189,76.6537273
144,4c-5/9/16,0.081025609,0.013843212,230.7371199
145,4c-6/13/19,0.382240785,0.032574301,620.8429463
146,4c-6/9/13,0.086544778,0.01580842,271.3309565
147,4d-3/16/13,1.216194944,0.106914282,2998.64041
148,4d-5/10/16,0.75095839,0.074186213,1184.619423
149,4d-5/11/16,1.120720724,0.1013751,1933.329256
150,4d-5/12/16,0.994411898,0.075936196,1553.088548
151,4d-5/13/16,0.975076883,0.088275305,1724.328979
152,4d-5/13/19,0.527143417,0.044296658,1596.526219
153,4d-5/14/16,0.863665025,0.064575793,1246.662282
154,4d-5/26/13,1.648941935,0.094110202,3674.028326
155,4d-5/5/16,1.116927775,0.097698235,1872.481638
156,4d-5/7/16,1.055222165,0.092047811,1524.605651
157,4d-5/9/16,0.784617219,0.067281584,1092.942918
158,4d-6/13/19,0.874217728,0.061672589,2140.316701
159,4d-6/9/13,0.765254875,0.065320118,1952.736996